"No.","Time","Source","Destination","Protocol","Length","Info","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","tcp_Flags","tcp_WindowSize","srcPort","destPort","Delay"
"1","0.000000000","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","914","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000000000"
"2","0.001020209","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","914","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.001020209"
"3","0.001035483","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=102 Ack=218 Win=501 Len=0 TSval=1867346639 TSecr=784567034","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000015274"
"4","0.001695929","172.18.0.13","10.0.0.3","OpcUa","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","127","915","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000660446"
"5","0.002447394","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","915","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000751465"
"6","0.002457827","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=229 Ack=297 Win=501 Len=0 TSval=1867346640 TSecr=784567036","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010433"
"7","0.003363751","172.18.0.13","10.0.0.3","OpcUa","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","107","916","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000905924"
"8","0.003979692","10.0.0.3","172.18.0.13","OpcUa","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","79","916","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000615941"
"9","0.003992514","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=336 Ack=376 Win=501 Len=0 TSval=1867346642 TSecr=784567037","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000012822"
"10","0.004446207","172.18.0.13","10.0.0.3","OpcUa","167","UA Secure Conversation Message: BrowseRequest","101","917","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000453693"
"11","0.005185856","10.0.0.3","172.18.0.13","OpcUa","283","UA Secure Conversation Message: BrowseResponse","217","917","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000739649"
"12","0.005196267","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=437 Ack=593 Win=501 Len=0 TSval=1867346643 TSecr=784567038","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010411"
"13","0.005761639","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","918","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000565372"
"14","0.006477861","10.0.0.3","172.18.0.13","OpcUa","240","UA Secure Conversation Message: BrowseResponse","174","918","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000716222"
"15","0.006487988","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=543 Ack=767 Win=501 Len=0 TSval=1867346644 TSecr=784567040","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010127"
"16","0.006971133","172.18.0.13","10.0.0.3","OpcUa","172","UA Secure Conversation Message: BrowseRequest","106","919","BrowseRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000483145"
"17","0.007580121","10.0.0.3","172.18.0.13","OpcUa","195","UA Secure Conversation Message: BrowseResponse","129","919","BrowseResponse","","","","","","","","","","","","","0x018","43","4840","60324","0.000608988"
"18","0.007590310","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=649 Ack=896 Win=501 Len=0 TSval=1867346645 TSecr=784567041","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000010189"
"19","0.008137056","172.18.0.13","10.0.0.3","OpcUa","165","UA Secure Conversation Message: ReadRequest","99","920","ReadRequest","","","","","","","","","","","","","0x018","501","60324","4840","0.000546746"
"20","0.008766089","10.0.0.3","172.18.0.13","OpcUa","154","UA Secure Conversation Message: ReadResponse","88","920","ReadResponse","NPKPahVStR","","","","","","","","","","","","0x018","43","4840","60324","0.000629033"
"21","0.008843325","172.18.0.13","10.0.0.3","TCP","66","60324  >  4840 [ACK] Seq=748 Ack=984 Win=501 Len=0 TSval=1867346646 TSecr=784567042","","","","","","","","","","","","","","","","0x010","501","60324","4840","0.000077236"
"22","0.028789983","172.18.0.7","10.0.0.2","Modbus/TCP","78","   Query: Trans: 59535; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","59535","Read Coils","","","","0x018","502","55868","502","0.019946658"
"23","0.029191337","10.0.0.2","172.18.0.7","Modbus/TCP","76","Response: Trans: 59535; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","59535","Read Coils","22","0.000401354","","0x018","43","502","55868","0.000401354"
"24","0.029261337","172.18.0.7","10.0.0.2","TCP","66","55868  >  502 [ACK] Seq=13 Ack=11 Win=502 Len=0 TSval=3726482452 TSecr=4262224366","","","","","","","","","","","","","","","","0x010","502","55868","502","0.000070000"
"25","0.813357511","172.18.0.3","10.0.0.2","Modbus/TCP","78","   Query: Trans: 58571; Unit:   1, Func:   1: Read Coils","","","","","","","","","","6","58571","Read Coils","","","","0x018","502","51766","502","0.784096174"
"26","0.813799810","10.0.0.2","172.18.0.3","Modbus/TCP","76","Response: Trans: 58571; Unit:   1, Func:   1: Read Coils","","","","","","","","","","4","58571","Read Coils","25","0.000442299","","0x018","43","502","51766","0.000442299"
"27","0.813815147","172.18.0.3","10.0.0.2","TCP","66","51766  >  502 [ACK] Seq=13 Ack=11 Win=502 Len=0 TSval=897708475 TSecr=4262225151","","","","","","","","","","","","","","","","0x010","502","51766","502","0.000015337"
"28","1.026771467","172.18.0.11","10.0.0.1","S7COMM","97","ROSCTR:[Job     ] Function:[Read Var]","","","","","Job","","Read Var","","","","","","","","","0x018","502","49396","102","0.212956320"
"29","1.027271836","10.0.0.1","172.18.0.11","S7COMM","111","ROSCTR:[Ack_Data] Function:[Read Var]","","","","","Ack_Data","20","Read Var","72466e777966734e7850737645457a5473714d48","","","","","","","","0x018","43","102","49396","0.000500369"
"30","1.027292345","172.18.0.11","10.0.0.1","TCP","66","49396  >  102 [ACK] Seq=32 Ack=46 Win=502 Len=0 TSval=1787433984 TSecr=2261099212","","","","","","","","","","","","","","","","0x010","502","49396","102","0.000020509"
