"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"478","29.963325663","172.18.0.6","10.0.0.1","TCP","51266","8888","74","51266  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437835 TSecr=0 WS=128","0x002","64240","0.531573154","","","","","","","","","","","","","","","","0.000000000"
"479","29.963490322","172.18.0.6","10.0.0.1","TCP","51268","8888","74","51268  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437835 TSecr=0 WS=128","0x002","64240","0.000164659","","","","","","","","","","","","","","","","0.000000000"
"480","29.963629356","172.18.0.6","10.0.0.1","TCP","51270","8888","74","51270  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437835 TSecr=0 WS=128","0x002","64240","0.000139034","","","","","","","","","","","","","","","","0.000000000"
"482","29.963811057","172.18.0.6","10.0.0.1","TCP","51266","8888","66","51266  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437835 TSecr=469586604","0x010","64256","0.000043618","","","","","","","","","","","","","","","","0.000043618"
"484","29.963836364","172.18.0.6","10.0.0.1","TCP","51268","8888","66","51268  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437835 TSecr=469586604","0x010","64256","0.000009978","","","","","","","","","","","","","","","","0.000009978"
"485","29.963912479","172.18.0.6","10.0.0.1","TCP","51272","8888","74","51272  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437836 TSecr=0 WS=128","0x002","64240","0.000076115","","","","","","","","","","","","","","","","0.000000000"
"487","29.964003977","172.18.0.6","10.0.0.1","TCP","51270","8888","66","51270  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437836 TSecr=469586604","0x010","64256","0.000016417","","","","","","","","","","","","","","","","0.000016417"
"488","29.964109818","172.18.0.6","10.0.0.1","TCP","51274","8888","74","51274  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437836 TSecr=0 WS=128","0x002","64240","0.000105841","","","","","","","","","","","","","","","","0.000000000"
"490","29.964171507","172.18.0.6","10.0.0.1","TCP","51272","8888","66","51272  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437836 TSecr=469586604","0x010","64256","0.000012233","","","","","","","","","","","","","","","","0.000012233"
"491","29.964331838","172.18.0.6","10.0.0.1","TCP","51276","8888","74","51276  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437836 TSecr=0 WS=128","0x002","64240","0.000160331","","","","","","","","","","","","","","","","0.000000000"
"493","29.964401047","172.18.0.6","10.0.0.1","TCP","51274","8888","66","51274  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437836 TSecr=469586605","0x010","64256","0.000011520","","","","","","","","","","","","","","","","0.000011520"
"495","29.964719970","172.18.0.6","10.0.0.1","TCP","51276","8888","66","51276  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437836 TSecr=469586605","0x010","64256","0.000015249","","","","","","","","","","","","","","","","0.000015249"
"496","29.967843741","172.18.0.6","10.0.0.1","TCP","51278","8888","74","51278  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437839 TSecr=0 WS=128","0x002","64240","0.003123771","","","","","","","","","","","","","","","","0.000000000"
"497","29.967985862","172.18.0.6","10.0.0.1","TCP","51280","8888","74","51280  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404437840 TSecr=0 WS=128","0x002","64240","0.000142121","","","","","","","","","","","","","","","","0.000000000"
"499","29.968150793","172.18.0.6","10.0.0.1","TCP","51278","8888","66","51278  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437840 TSecr=469586608","0x010","64256","0.000017612","","","","","","","","","","","","","","","","0.000017612"
"501","29.968230403","172.18.0.6","10.0.0.1","TCP","51280","8888","66","51280  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404437840 TSecr=469586609","0x010","64256","0.000012562","","","","","","","","","","","","","","","","0.000012562"
