"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1","0.000000000","172.18.0.6","10.0.0.3","OpcUa","43330","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000000000","101","28185","BrowseRequest","","","","","","","","","","","","","0.000000000"
"2","0.001170731","10.0.0.3","172.18.0.6","OpcUa","4840","43330","283","UA Secure Conversation Message: BrowseResponse","0x018","45","0.001170731","217","28185","BrowseResponse","","","","","","","","","","","","","0.001170731"
"3","0.001188998","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=102 Ack=218 Win=501 Len=0 TSval=986277183 TSecr=1718632291","0x010","501","0.000018267","","","","","","","","","","","","","","","","0.000018267"
"4","0.001911372","172.18.0.6","10.0.0.3","OpcUa","43330","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000722374","127","28186","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000722374"
"5","0.002671907","10.0.0.3","172.18.0.6","OpcUa","4840","43330","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","45","0.000760535","79","28186","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000760535"
"6","0.002683995","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=229 Ack=297 Win=501 Len=0 TSval=986277184 TSecr=1718632292","0x010","501","0.000012088","","","","","","","","","","","","","","","","0.000012088"
"7","0.003256710","172.18.0.6","10.0.0.3","OpcUa","43330","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000572715","107","28187","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000572715"
"8","0.003864963","10.0.0.3","172.18.0.6","OpcUa","4840","43330","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","45","0.000608253","79","28187","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000608253"
"9","0.003877752","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=336 Ack=376 Win=501 Len=0 TSval=986277186 TSecr=1718632294","0x010","501","0.000012789","","","","","","","","","","","","","","","","0.000012789"
"10","0.004253937","172.18.0.6","10.0.0.3","OpcUa","43330","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000376185","101","28188","BrowseRequest","","","","","","","","","","","","","0.000376185"
"11","0.004980309","10.0.0.3","172.18.0.6","OpcUa","4840","43330","283","UA Secure Conversation Message: BrowseResponse","0x018","45","0.000726372","217","28188","BrowseResponse","","","","","","","","","","","","","0.000726372"
"12","0.004992247","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=437 Ack=593 Win=501 Len=0 TSval=986277187 TSecr=1718632295","0x010","501","0.000011938","","","","","","","","","","","","","","","","0.000011938"
"13","0.005458292","172.18.0.6","10.0.0.3","OpcUa","43330","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000466045","106","28189","BrowseRequest","","","","","","","","","","","","","0.000466045"
"14","0.006091897","10.0.0.3","172.18.0.6","OpcUa","4840","43330","240","UA Secure Conversation Message: BrowseResponse","0x018","45","0.000633605","174","28189","BrowseResponse","","","","","","","","","","","","","0.000633605"
"15","0.006103949","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=543 Ack=767 Win=501 Len=0 TSval=986277188 TSecr=1718632296","0x010","501","0.000012052","","","","","","","","","","","","","","","","0.000012052"
"16","0.006529814","172.18.0.6","10.0.0.3","OpcUa","43330","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000425865","106","28190","BrowseRequest","","","","","","","","","","","","","0.000425865"
"17","0.007019194","10.0.0.3","172.18.0.6","OpcUa","4840","43330","195","UA Secure Conversation Message: BrowseResponse","0x018","45","0.000489380","129","28190","BrowseResponse","","","","","","","","","","","","","0.000489380"
"18","0.007031326","172.18.0.6","10.0.0.3","TCP","43330","4840","66","43330  >  4840 [ACK] Seq=649 Ack=896 Win=501 Len=0 TSval=986277189 TSecr=1718632297","0x010","501","0.000012132","","","","","","","","","","","","","","","","0.000012132"
