"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1","0.000000000","172.18.0.4","10.0.0.1","S7COMM","43352","102","97","ROSCTR:[Job     ] Function:[Read Var]","0x018","502","0.000000000","","","","","Job","","Read Var","","","","","","","","","0.000000000"
"2","0.001169836","10.0.0.1","172.18.0.4","S7COMM","102","43352","111","ROSCTR:[Ack_Data] Function:[Read Var]","0x018","43","0.001169836","","","","","Ack_Data","20","Read Var","546a72436a45504a567379725563455446447147","","","","","","","","0.001169836"
"3","0.001184893","172.18.0.4","10.0.0.1","TCP","43352","102","66","43352  >  102 [ACK] Seq=32 Ack=46 Win=502 Len=0 TSval=3290528490 TSecr=479443963","0x010","502","0.000015057","","","","","","","","","","","","","","","","0.000015057"
"4","0.095495785","172.18.0.7","10.0.0.3","OpcUa","41864","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.094310892","101","459","BrowseRequest","","","","","","","","","","","","","0.000000000"
"5","0.098166559","10.0.0.3","172.18.0.7","OpcUa","4840","41864","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.002670774","217","459","BrowseResponse","","","","","","","","","","","","","0.002670774"
"6","0.098182855","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=102 Ack=218 Win=501 Len=0 TSval=1939893175 TSecr=1363686670","0x010","501","0.000016296","","","","","","","","","","","","","","","","0.000016296"
"7","0.098817688","172.18.0.7","10.0.0.3","OpcUa","41864","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000634833","127","460","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000634833"
"8","0.101039574","10.0.0.3","172.18.0.7","OpcUa","4840","41864","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.002221886","79","460","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.002221886"
"9","0.101053814","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=229 Ack=297 Win=501 Len=0 TSval=1939893178 TSecr=1363686673","0x010","501","0.000014240","","","","","","","","","","","","","","","","0.000014240"
"10","0.101569370","172.18.0.7","10.0.0.3","OpcUa","41864","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000515556","107","461","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000515556"
"11","0.103462272","10.0.0.3","172.18.0.7","OpcUa","4840","41864","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.001892902","79","461","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.001892902"
"12","0.103471195","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=336 Ack=376 Win=501 Len=0 TSval=1939893180 TSecr=1363686675","0x010","501","0.000008923","","","","","","","","","","","","","","","","0.000008923"
"13","0.104027810","172.18.0.7","10.0.0.3","OpcUa","41864","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000556615","101","462","BrowseRequest","","","","","","","","","","","","","0.000556615"
"14","0.106166084","10.0.0.3","172.18.0.7","OpcUa","4840","41864","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.002138274","217","462","BrowseResponse","","","","","","","","","","","","","0.002138274"
"15","0.106179756","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=437 Ack=593 Win=501 Len=0 TSval=1939893183 TSecr=1363686678","0x010","501","0.000013672","","","","","","","","","","","","","","","","0.000013672"
"16","0.106746318","172.18.0.7","10.0.0.3","OpcUa","41864","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000566562","106","463","BrowseRequest","","","","","","","","","","","","","0.000566562"
"17","0.115523687","10.0.0.3","172.18.0.7","OpcUa","4840","41864","240","UA Secure Conversation Message: BrowseResponse","0x018","43","0.008777369","174","463","BrowseResponse","","","","","","","","","","","","","0.008777369"
"18","0.116597629","172.18.0.7","10.0.0.3","OpcUa","41864","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.001073942","106","464","BrowseRequest","","","","","","","","","","","","","0.001073942"
"19","0.119535045","10.0.0.3","172.18.0.7","OpcUa","4840","41864","195","UA Secure Conversation Message: BrowseResponse","0x018","43","0.002937416","129","464","BrowseResponse","","","","","","","","","","","","","0.002937416"
"20","0.120031757","172.18.0.7","10.0.0.3","OpcUa","41864","4840","165","UA Secure Conversation Message: ReadRequest","0x018","501","0.000496712","99","465","ReadRequest","","","","","","","","","","","","","0.000496712"
"21","0.132098820","10.0.0.3","172.18.0.7","OpcUa","4840","41864","154","UA Secure Conversation Message: ReadResponse","0x018","43","0.012067063","88","465","ReadResponse","9858609966","","","","","","","","","","","","0.012067063"
"22","0.175989633","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=748 Ack=984 Win=501 Len=0 TSval=1939893253 TSecr=1363686694","0x010","501","0.043890813","","","","","","","","","","","","","","","","0.043890813"
"23","0.391559886","172.18.0.3","10.0.0.2","Modbus/TCP","48670","502","78","   Query: Trans: 23455; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.215570253","","","","","","","","","","6","23455","Write Single Coil","","","","0.000000000"
"24","0.393498226","10.0.0.2","172.18.0.3","Modbus/TCP","502","48670","78","Response: Trans: 23455; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.001938340","","","","","","","","","","6","23455","Write Single Coil","23","0.001938340","","0.001938340"
"25","0.393511571","172.18.0.3","10.0.0.2","TCP","48670","502","66","48670  >  502 [ACK] Seq=13 Ack=13 Win=502 Len=0 TSval=2504626486 TSecr=2027507910","0x010","502","0.000013345","","","","","","","","","","","","","","","","0.000013345"
"26","0.800715873","172.18.0.2","10.0.0.2","Modbus/TCP","55756","502","78","   Query: Trans: 62814; Unit:   1, Func:   1: Read Coils","0x018","502","0.407204302","","","","","","","","","","6","62814","Read Coils","","","","0.000000000"
"27","0.802637970","10.0.0.2","172.18.0.2","Modbus/TCP","502","55756","76","Response: Trans: 62814; Unit:   1, Func:   1: Read Coils","0x018","43","0.001922097","","","","","","","","","","4","62814","Read Coils","26","0.001922097","","0.001922097"
"28","0.802652785","172.18.0.2","10.0.0.2","TCP","55756","502","66","55756  >  502 [ACK] Seq=13 Ack=11 Win=502 Len=0 TSval=559812752 TSecr=2027508319","0x010","502","0.000014815","","","","","","","","","","","","","","","","0.000014815"
"29","0.893689433","172.18.0.3","10.0.0.2","Modbus/TCP","48670","502","78","   Query: Trans: 62598; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.091036648","","","","","","","","","","6","62598","Write Single Coil","","","","0.500177862"
"30","0.895416825","10.0.0.2","172.18.0.3","Modbus/TCP","502","48670","78","Response: Trans: 62598; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.001727392","","","","","","","","","","6","62598","Write Single Coil","29","0.001727392","","0.001727392"
"31","0.895427372","172.18.0.3","10.0.0.2","TCP","48670","502","66","48670  >  502 [ACK] Seq=25 Ack=25 Win=502 Len=0 TSval=2504626988 TSecr=2027508412","0x010","502","0.000010547","","","","","","","","","","","","","","","","0.000010547"
"32","1.396441148","172.18.0.3","10.0.0.2","Modbus/TCP","48670","502","78","   Query: Trans: 47954; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.501013776","","","","","","","","","","6","47954","Write Single Coil","","","","0.501013776"
"33","1.398454905","10.0.0.2","172.18.0.3","Modbus/TCP","502","48670","78","Response: Trans: 47954; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.002013757","","","","","","","","","","6","47954","Write Single Coil","32","0.002013757","","0.002013757"
"34","1.398469107","172.18.0.3","10.0.0.2","TCP","48670","502","66","48670  >  502 [ACK] Seq=37 Ack=37 Win=502 Len=0 TSval=2504627491 TSecr=2027508915","0x010","502","0.000014202","","","","","","","","","","","","","","","","0.000014202"
"35","1.803879202","172.18.0.2","10.0.0.2","Modbus/TCP","55756","502","78","   Query: Trans: 17154; Unit:   1, Func:   1: Read Coils","0x018","502","0.405410095","","","","","","","","","","6","17154","Read Coils","","","","1.001226417"
"36","1.806170030","10.0.0.2","172.18.0.2","Modbus/TCP","502","55756","76","Response: Trans: 17154; Unit:   1, Func:   1: Read Coils","0x018","43","0.002290828","","","","","","","","","","4","17154","Read Coils","35","0.002290828","","0.002290828"
"37","1.806182728","172.18.0.2","10.0.0.2","TCP","55756","502","66","55756  >  502 [ACK] Seq=25 Ack=21 Win=502 Len=0 TSval=559813756 TSecr=2027509322","0x010","502","0.000012698","","","","","","","","","","","","","","","","0.000012698"
"38","1.898931001","172.18.0.3","10.0.0.2","Modbus/TCP","48670","502","78","   Query: Trans: 44086; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.092748273","","","","","","","","","","6","44086","Write Single Coil","","","","0.500461894"
"39","1.900987202","10.0.0.2","172.18.0.3","Modbus/TCP","502","48670","78","Response: Trans: 44086; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.002056201","","","","","","","","","","6","44086","Write Single Coil","38","0.002056201","","0.002056201"
"40","1.901004534","172.18.0.3","10.0.0.2","TCP","48670","502","66","48670  >  502 [ACK] Seq=49 Ack=49 Win=502 Len=0 TSval=2504627994 TSecr=2027509417","0x010","502","0.000017332","","","","","","","","","","","","","","","","0.000017332"
"41","2.135728341","172.18.0.7","10.0.0.3","OpcUa","41864","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.234723807","101","466","BrowseRequest","","","","","","","","","","","","","1.959738708"
"42","2.137815490","10.0.0.3","172.18.0.7","OpcUa","4840","41864","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.002087149","217","466","BrowseResponse","","","","","","","","","","","","","0.002087149"
"43","2.137828232","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=849 Ack=1201 Win=501 Len=0 TSval=1939895215 TSecr=1363688710","0x010","501","0.000012742","","","","","","","","","","","","","","","","0.000012742"
"44","2.138399521","172.18.0.7","10.0.0.3","OpcUa","41864","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000571289","127","467","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000571289"
"45","2.140122503","10.0.0.3","172.18.0.7","OpcUa","4840","41864","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.001722982","79","467","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.001722982"
"46","2.140130730","172.18.0.7","10.0.0.3","TCP","41864","4840","66","41864  >  4840 [ACK] Seq=976 Ack=1280 Win=501 Len=0 TSval=1939895217 TSecr=1363688712","0x010","501","0.000008227","","","","","","","","","","","","","","","","0.000008227"
"47","2.140517966","172.18.0.7","10.0.0.3","OpcUa","41864","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000387236","107","468","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000387236"
"48","2.142124405","10.0.0.3","172.18.0.7","OpcUa","4840","41864","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.001606439","79","468","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.001606439"
