"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"854","54.025254771","172.18.0.6","10.0.0.1","TCP","55924","8888","74","55924  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404681111 TSecr=0 WS=128","0x002","64240","0.383029553","","","","","","","","","","","","","","","","0.000000000"
"856","54.025625460","172.18.0.6","10.0.0.1","TCP","55924","8888","66","55924  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404681111 TSecr=469829883","0x010","64256","0.000025335","","","","","","","","","","","","","","","","0.000025335"
"857","54.025674873","172.18.0.6","10.0.0.1","HTTP","55924","8888","262","GET /cgi/test HTTP/1.1 ","0x018","64256","0.000049413","","","","","","","","","","","","","","","","0.000049413"
"860","54.026428585","172.18.0.6","10.0.0.1","TCP","55924","8888","66","55924  >  8888 [ACK] Seq=197 Ack=185 Win=64128 Len=0 TSval=404681112 TSecr=469829883","0x010","64128","0.000016429","","","","","","","","","","","","","","","","0.000016429"
"862","54.026768306","172.18.0.6","10.0.0.1","TCP","55924","8888","66","55924  >  8888 [FIN, ACK] Seq=197 Ack=655 Win=64128 Len=0 TSval=404681112 TSecr=469829884","0x011","64128","0.000267321","","","","","","","","","","","","","","","","0.000267321"
"919","57.390127620","172.18.0.6","10.0.0.1","TCP","55926","8888","74","55926  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404684476 TSecr=0 WS=128","0x002","64240","0.157386526","","","","","","","","","","","","","","","","0.000000000"
"921","57.390571953","172.18.0.6","10.0.0.1","TCP","55926","8888","66","55926  >  8888 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=404684476 TSecr=469833248","0x010","64256","0.000029866","","","","","","","","","","","","","","","","0.000029866"
"922","57.390602853","172.18.0.6","10.0.0.1","HTTP","55926","8888","262","GET /cgi/test HTTP/1.1 ","0x018","64256","0.000030900","","","","","","","","","","","","","","","","0.000030900"
"925","57.391321262","172.18.0.6","10.0.0.1","TCP","55926","8888","66","55926  >  8888 [ACK] Seq=197 Ack=185 Win=64128 Len=0 TSval=404684477 TSecr=469833248","0x010","64128","0.000011562","","","","","","","","","","","","","","","","0.000011562"
"927","57.391750005","172.18.0.6","10.0.0.1","TCP","55926","8888","66","55926  >  8888 [FIN, ACK] Seq=197 Ack=655 Win=64128 Len=0 TSval=404684477 TSecr=469833249","0x011","64128","0.000359239","","","","","","","","","","","","","","","","0.000359239"
"934","57.666565694","172.18.0.6","10.0.0.1","TCP","55928","8888","74","55928  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=404684752 TSecr=0 WS=128","0x002","64240","0.009073949","","","","","","","","","","","","","","","","0.000000000"
