"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"5","0.039930127","172.18.0.6","10.0.0.3","TCP","56218","7915","54","56218  >  7915 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.039864972","","","","","","","","","","","","","","","","0.000000000"
"6","0.042911216","172.18.0.6","10.0.0.3","TCP","56218","9848","54","56218  >  9848 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002981089","","","","","","","","","","","","","","","","0.000000000"
"7","0.045182934","172.18.0.6","10.0.0.1","TCP","56218","1758","54","56218  >  1758 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002271718","","","","","","","","","","","","","","","","0.000000000"
"8","0.045208140","172.18.0.6","10.0.0.3","TCP","56218","4467","54","56218  >  4467 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000025206","","","","","","","","","","","","","","","","0.000000000"
"9","0.047361182","172.18.0.6","10.0.0.1","TCP","56218","9071","54","56218  >  9071 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002153042","","","","","","","","","","","","","","","","0.000000000"
"10","0.047383565","172.18.0.6","10.0.0.2","TCP","56218","2014","54","56218  >  2014 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000022383","","","","","","","","","","","","","","","","0.000000000"
"11","0.050320467","172.18.0.6","10.0.0.2","TCP","56218","8477","54","56218  >  8477 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002936902","","","","","","","","","","","","","","","","0.000000000"
"12","0.054169514","172.18.0.6","10.0.0.2","TCP","56218","2019","54","56218  >  2019 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003849047","","","","","","","","","","","","","","","","0.000000000"
"13","0.056593528","172.18.0.6","10.0.0.2","TCP","56218","574","54","56218  >  574 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002424014","","","","","","","","","","","","","","","","0.000000000"
"14","0.056616719","172.18.0.6","10.0.0.3","TCP","56218","624","54","56218  >  624 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000023191","","","","","","","","","","","","","","","","0.000000000"
"15","0.140370673","172.18.0.6","10.0.0.2","TCP","56216","1758","54","56216  >  1758 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.083753954","","","","","","","","","","","","","","","","0.000000000"
"16","0.143778959","172.18.0.6","10.0.0.2","TCP","56216","9071","54","56216  >  9071 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003408286","","","","","","","","","","","","","","","","0.000000000"
"17","0.146223100","172.18.0.6","10.0.0.2","TCP","56216","434","54","56216  >  434 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002444141","","","","","","","","","","","","","","","","0.000000000"
"18","0.146243985","172.18.0.6","10.0.0.3","TCP","56216","9164","54","56216  >  9164 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000020885","","","","","","","","","","","","","","","","0.000000000"
"19","0.148304747","172.18.0.6","10.0.0.3","TCP","56216","5188","54","56216  >  5188 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002060762","","","","","","","","","","","","","","","","0.000000000"
"20","0.148323903","172.18.0.6","10.0.0.1","TCP","56216","434","54","56216  >  434 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000019156","","","","","","","","","","","","","","","","0.000000000"
"21","0.150529935","172.18.0.6","10.0.0.1","TCP","56216","5910","54","56216  >  5910 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002206032","","","","","","","","","","","","","","","","0.000000000"
"22","0.154464123","172.18.0.6","10.0.0.1","TCP","56216","6143","54","56216  >  6143 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003934188","","","","","","","","","","","","","","","","0.000000000"
"23","0.157397348","172.18.0.6","10.0.0.1","TCP","56216","9861","54","56216  >  9861 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002933225","","","","","","","","","","","","","","","","0.000000000"
"24","0.157416999","172.18.0.6","10.0.0.2","TCP","56216","5910","54","56216  >  5910 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000019651","","","","","","","","","","","","","","","","0.000000000"
"31","0.240517725","172.18.0.6","10.0.0.2","TCP","56218","1758","54","56218  >  1758 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.063653261","","","","","","","","","","","","","","","","0.000000000"
"32","0.243913714","172.18.0.6","10.0.0.2","TCP","56218","9071","54","56218  >  9071 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003395989","","","","","","","","","","","","","","","","0.000000000"
"33","0.247801867","172.18.0.6","10.0.0.2","TCP","56218","434","54","56218  >  434 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003888153","","","","","","","","","","","","","","","","0.000000000"
"34","0.247823076","172.18.0.6","10.0.0.3","TCP","56218","9164","54","56218  >  9164 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000021209","","","","","","","","","","","","","","","","0.000000000"
"35","0.249889484","172.18.0.6","10.0.0.1","TCP","56218","434","54","56218  >  434 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002066408","","","","","","","","","","","","","","","","0.000000000"
"36","0.249907831","172.18.0.6","10.0.0.3","TCP","56218","5188","54","56218  >  5188 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000018347","","","","","","","","","","","","","","","","0.000000000"
"37","0.252288158","172.18.0.6","10.0.0.1","TCP","56218","5910","54","56218  >  5910 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002380327","","","","","","","","","","","","","","","","0.000000000"
"38","0.255264357","172.18.0.6","10.0.0.1","TCP","56218","6143","54","56218  >  6143 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002976199","","","","","","","","","","","","","","","","0.000000000"
"39","0.257707609","172.18.0.6","10.0.0.1","TCP","56218","9861","54","56218  >  9861 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002443252","","","","","","","","","","","","","","","","0.000000000"
"40","0.257726180","172.18.0.6","10.0.0.2","TCP","56218","5910","54","56218  >  5910 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000018571","","","","","","","","","","","","","","","","0.000000000"
"41","0.340898272","172.18.0.6","10.0.0.1","TCP","56216","7915","54","56216  >  7915 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.083172092","","","","","","","","","","","","","","","","0.000000000"
"42","0.344251926","172.18.0.6","10.0.0.1","TCP","56216","9848","54","56216  >  9848 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003353654","","","","","","","","","","","","","","","","0.000000000"
"43","0.348654740","172.18.0.6","10.0.0.1","TCP","56216","4467","54","56216  >  4467 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.004402814","","","","","","","","","","","","","","","","0.000000000"
"44","0.348698229","172.18.0.6","10.0.0.2","TCP","56216","6143","54","56216  >  6143 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000043489","","","","","","","","","","","","","","","","0.000000000"
"45","0.351362837","172.18.0.6","10.0.0.2","TCP","56216","9861","54","56216  >  9861 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002664608","","","","","","","","","","","","","","","","0.000000000"
"46","0.351380763","172.18.0.6","10.0.0.3","TCP","56216","2358","54","56216  >  2358 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000017926","","","","","","","","","","","","","","","","0.000000000"
"47","0.353820037","172.18.0.6","10.0.0.3","TCP","56216","7132","54","56216  >  7132 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002439274","","","","","","","","","","","","","","","","0.000000000"
"48","0.355920162","172.18.0.6","10.0.0.3","TCP","56216","941","54","56216  >  941 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002100125","","","","","","","","","","","","","","","","0.000000000"
"49","0.358245924","172.18.0.6","10.0.0.3","TCP","56216","1988","54","56216  >  1988 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002325762","","","","","","","","","","","","","","","","0.000000000"
"50","0.358264169","172.18.0.6","10.0.0.1","TCP","56216","624","54","56216  >  624 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000018245","","","","","","","","","","","","","","","","0.000000000"
"51","0.441031070","172.18.0.6","10.0.0.1","TCP","56218","7915","54","56218  >  7915 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.082766901","","","","","","","","","","","","","","","","0.000000000"
"52","0.444506975","172.18.0.6","10.0.0.1","TCP","56218","9848","54","56218  >  9848 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003475905","","","","","","","","","","","","","","","","0.000000000"
"53","0.448936478","172.18.0.6","10.0.0.1","TCP","56218","4467","54","56218  >  4467 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.004429503","","","","","","","","","","","","","","","","0.000000000"
"54","0.448956212","172.18.0.6","10.0.0.2","TCP","56218","6143","54","56218  >  6143 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000019734","","","","","","","","","","","","","","","","0.000000000"
"55","0.451926646","172.18.0.6","10.0.0.2","TCP","56218","9861","54","56218  >  9861 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002970434","","","","","","","","","","","","","","","","0.000000000"
"56","0.451946233","172.18.0.6","10.0.0.3","TCP","56218","2358","54","56218  >  2358 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000019587","","","","","","","","","","","","","","","","0.000000000"
"57","0.453980278","172.18.0.6","10.0.0.3","TCP","56218","7132","54","56218  >  7132 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002034045","","","","","","","","","","","","","","","","0.000000000"
"58","0.456797427","172.18.0.6","10.0.0.3","TCP","56218","941","54","56218  >  941 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002817149","","","","","","","","","","","","","","","","0.000000000"
"59","0.458838705","172.18.0.6","10.0.0.1","TCP","56218","624","54","56218  >  624 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002041278","","","","","","","","","","","","","","","","0.000000000"
"60","0.458857583","172.18.0.6","10.0.0.3","TCP","56218","1988","54","56218  >  1988 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000018878","","","","","","","","","","","","","","","","0.000000000"
"61","0.541429599","172.18.0.6","10.0.0.3","TCP","56216","5285","54","56216  >  5285 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.082572016","","","","","","","","","","","","","","","","0.000000000"
"62","0.544556357","172.18.0.6","10.0.0.3","TCP","56216","6761","54","56216  >  6761 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.003126758","","","","","","","","","","","","","","","","0.000000000"
"63","0.549309429","172.18.0.6","10.0.0.3","TCP","56216","3720","54","56216  >  3720 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.004753072","","","","","","","","","","","","","","","","0.000000000"
"64","0.549398983","172.18.0.6","10.0.0.1","TCP","56216","9164","54","56216  >  9164 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000089554","","","","","","","","","","","","","","","","0.000000000"
"65","0.552180882","172.18.0.6","10.0.0.1","TCP","56216","5188","54","56216  >  5188 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002781899","","","","","","","","","","","","","","","","0.000000000"
"66","0.552206292","172.18.0.6","10.0.0.2","TCP","56216","7915","54","56216  >  7915 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000025410","","","","","","","","","","","","","","","","0.000000000"
"67","0.555181623","172.18.0.6","10.0.0.2","TCP","56216","9848","54","56216  >  9848 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002975331","","","","","","","","","","","","","","","","0.000000000"
"68","0.558092938","172.18.0.6","10.0.0.2","TCP","56216","4467","54","56216  >  4467 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002911315","","","","","","","","","","","","","","","","0.000000000"
"69","0.560167660","172.18.0.6","10.0.0.2","TCP","56216","624","54","56216  >  624 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.002074722","","","","","","","","","","","","","","","","0.000000000"
"70","0.560210476","172.18.0.6","10.0.0.3","TCP","56216","3212","54","56216  >  3212 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.000042816","","","","","","","","","","","","","","","","0.000000000"
"71","0.642034016","172.18.0.6","10.0.0.3","TCP","56218","5285","54","56218  >  5285 [FIN] Seq=1 Win=1024 Len=0","0x001","1024","0.081823540","","","","","","","","","","","","","","","","0.000000000"
