"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1","0.000000000","172.18.0.6","10.0.0.1","TCP","36452","2530","54","36452  >  2530 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000000000","","","","","","","","","","","","","","","","0.000000000"
"2","0.003974116","172.18.0.6","10.0.0.1","TCP","36450","8804","54","36450  >  8804 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.003974116","","","","","","","","","","","","","","","","0.000000000"
"3","0.006891303","172.18.0.6","10.0.0.1","TCP","36452","2526","54","36452  >  2526 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002917187","","","","","","","","","","","","","","","","0.000000000"
"4","0.006956462","172.18.0.6","10.0.0.3","TCP","36452","5297","54","36452  >  5297 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000065159","","","","","","","","","","","","","","","","0.000000000"
"5","0.009421645","172.18.0.6","10.0.0.1","TCP","36452","8482","54","36452  >  8482 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002465183","","","","","","","","","","","","","","","","0.000000000"
"6","0.011928951","172.18.0.6","10.0.0.1","TCP","36452","4554","54","36452  >  4554 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002507306","","","","","","","","","","","","","","","","0.000000000"
"7","0.011965824","172.18.0.6","10.0.0.2","TCP","36452","836","54","36452  >  836 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000036873","","","","","","","","","","","","","","","","0.000000000"
"8","0.014615377","172.18.0.6","10.0.0.1","TCP","36450","6005","54","36450  >  6005 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002649553","","","","","","","","","","","","","","","","0.000000000"
"9","0.016863007","172.18.0.6","10.0.0.1","TCP","36452","3145","54","36452  >  3145 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002247630","","","","","","","","","","","","","","","","0.000000000"
"10","0.016866872","172.18.0.6","10.0.0.2","TCP","36452","2004","54","36452  >  2004 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000003865","","","","","","","","","","","","","","","","0.000000000"
"11","0.100263405","172.18.0.6","10.0.0.3","TCP","36450","7958","54","36450  >  7958 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.083396533","","","","","","","","","","","","","","","","0.000000000"
"12","0.104354095","172.18.0.6","10.0.0.1","TCP","36452","8804","54","36452  >  8804 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.004090690","","","","","","","","","","","","","","","","0.000000000"
"13","0.106980617","172.18.0.6","10.0.0.2","TCP","36450","3372","54","36450  >  3372 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002626522","","","","","","","","","","","","","","","","0.000000000"
"14","0.107009001","172.18.0.6","10.0.0.3","TCP","36450","131","54","36450  >  131 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000028384","","","","","","","","","","","","","","","","0.000000000"
"15","0.109803063","172.18.0.6","10.0.0.3","TCP","36450","1831","54","36450  >  1831 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002794062","","","","","","","","","","","","","","","","0.000000000"
"16","0.112281887","172.18.0.6","10.0.0.3","TCP","36450","9105","54","36450  >  9105 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002478824","","","","","","","","","","","","","","","","0.000000000"
"17","0.112302113","172.18.0.6","10.0.0.1","TCP","36450","6894","54","36450  >  6894 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000020226","","","","","","","","","","","","","","","","0.000000000"
"18","0.115294412","172.18.0.6","10.0.0.1","TCP","36452","6005","54","36452  >  6005 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002992299","","","","","","","","","","","","","","","","0.000000000"
"19","0.117840979","172.18.0.6","10.0.0.3","TCP","36450","7753","54","36450  >  7753 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002546567","","","","","","","","","","","","","","","","0.000000000"
"20","0.117874532","172.18.0.6","10.0.0.1","TCP","36450","3431","54","36450  >  3431 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000033553","","","","","","","","","","","","","","","","0.000000000"
"21","0.200303396","172.18.0.6","10.0.0.3","TCP","36452","7958","54","36452  >  7958 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.082428864","","","","","","","","","","","","","","","","0.000000000"
"22","0.204706584","172.18.0.6","10.0.0.3","TCP","36450","8307","54","36450  >  8307 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.004403188","","","","","","","","","","","","","","","","0.000000000"
"23","0.207771888","172.18.0.6","10.0.0.2","TCP","36452","3372","54","36452  >  3372 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.003065304","","","","","","","","","","","","","","","","0.000000000"
"24","0.207791361","172.18.0.6","10.0.0.3","TCP","36452","131","54","36452  >  131 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000019473","","","","","","","","","","","","","","","","0.000000000"
"25","0.209829744","172.18.0.6","10.0.0.3","TCP","36452","1831","54","36452  >  1831 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002038383","","","","","","","","","","","","","","","","0.000000000"
"26","0.212686293","172.18.0.6","10.0.0.1","TCP","36452","6894","54","36452  >  6894 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002856549","","","","","","","","","","","","","","","","0.000000000"
"27","0.212706604","172.18.0.6","10.0.0.3","TCP","36452","9105","54","36452  >  9105 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.000020311","","","","","","","","","","","","","","","","0.000000000"
"28","0.216066494","172.18.0.6","10.0.0.3","TCP","36450","2682","54","36450  >  2682 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.003359890","","","","","","","","","","","","","","","","0.000000000"
"29","0.219035688","172.18.0.6","10.0.0.1","TCP","36452","3431","54","36452  >  3431 [<None>] Seq=1 Win=1024 Len=0","0x000","1024","0.002969194","","","","","","","","","","","","","","","","0.000000000"
