"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"10","0.818403053","172.18.0.6","10.0.0.2","ICMP","","","42","Echo (ping) request  id=0xda14, seq=0/0, ttl=50 (reply in 17)","","","0.784497545","","","","","","","","","","","","","","","",""
"11","0.818496032","172.18.0.6","10.0.0.3","ICMP","","","42","Echo (ping) request  id=0x6660, seq=0/0, ttl=38 (reply in 19)","","","0.000092979","","","","","","","","","","","","","","","",""
"12","0.818617277","172.18.0.6","10.0.0.1","ICMP","","","42","Echo (ping) request  id=0xcc88, seq=0/0, ttl=57 (reply in 20)","","","0.000121245","","","","","","","","","","","","","","","",""
"13","0.818631433","172.18.0.6","10.0.0.2","TCP","62758","443","58","62758  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","0x002","1024","0.000014156","","","","","","","","","","","","","","","","0.000000000"
"14","0.818727302","172.18.0.6","10.0.0.3","TCP","62758","443","58","62758  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","0x002","1024","0.000095869","","","","","","","","","","","","","","","","0.000000000"
"15","0.818771082","172.18.0.6","10.0.0.1","TCP","62758","443","58","62758  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","0x002","1024","0.000043780","","","","","","","","","","","","","","","","0.000000000"
"16","0.818814068","172.18.0.6","10.0.0.2","TCP","62758","80","54","62758  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0","0x010","1024","0.000042986","","","","","","","","","","","","","","","","0.000000000"
"18","0.818924540","172.18.0.6","10.0.0.3","TCP","62758","80","54","62758  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0","0x010","1024","0.000035677","","","","","","","","","","","","","","","","0.000000000"
"21","0.819031678","172.18.0.6","10.0.0.1","TCP","62758","80","54","62758  >  80 [ACK] Seq=1 Ack=1 Win=1024 Len=0","0x010","1024","0.000027830","","","","","","","","","","","","","","","","0.000000000"
"27","0.819184819","172.18.0.6","10.0.0.2","ICMP","","","54","Timestamp request    id=0x7f51, seq=0/0, ttl=59","","","0.000013327","","","","","","","","","","","","","","","",""
"30","0.835925972","172.18.0.6","10.0.0.2","UDP","63014","3321","42","63014  >  3321 Len=0","","","0.016501675","","","","","","","","","","","","","","","",""
"31","0.835953015","172.18.0.6","10.0.0.3","UDP","63014","3321","42","63014  >  3321 Len=0","","","0.000027043","","","","","","","","","","","","","","","",""
"32","0.835964999","172.18.0.6","10.0.0.1","UDP","63014","3321","42","63014  >  3321 Len=0","","","0.000011984","","","","","","","","","","","","","","","",""
"33","0.835975591","172.18.0.6","10.0.0.2","UDP","63014","9130","42","63014  >  9130 Len=0","","","0.000010592","","","","","","","","","","","","","","","",""
"34","0.835986572","172.18.0.6","10.0.0.3","UDP","63014","9130","42","63014  >  9130 Len=0","","","0.000010981","","","","","","","","","","","","","","","",""
"35","0.836039588","172.18.0.6","10.0.0.1","UDP","63014","9130","42","63014  >  9130 Len=0","","","0.000053016","","","","","","","","","","","","","","","",""
"36","0.836055858","172.18.0.6","10.0.0.2","UDP","63014","1041","114","63014  >  1041 Len=72","","","0.000016270","","","","","","","","","","","","","","","",""
"37","0.836066514","172.18.0.6","10.0.0.3","UDP","63014","1041","114","63014  >  1041 Len=72","","","0.000010656","","","","","","","","","","","","","","","",""
"38","0.836076464","172.18.0.6","10.0.0.1","UDP","63014","1041","114","63014  >  1041 Len=72","","","0.000009950","","","","","","","","","","","","","","","",""
"39","0.836116926","172.18.0.6","10.0.0.2","UDP","63014","4298","42","63014  >  4298 Len=0","","","0.000040462","","","","","","","","","","","","","","","",""
"40","0.836393436","10.0.0.2","172.18.0.6","ICMP","63014","3321","70","Destination unreachable (Port unreachable)","","","0.000276510","","","","","","","","","","","","","","","",""
"41","0.836397791","10.0.0.3","172.18.0.6","ICMP","63014","3321","70","Destination unreachable (Port unreachable)","","","0.000004355","","","","","","","","","","","","","","","",""
"42","0.836399308","10.0.0.1","172.18.0.6","ICMP","63014","3321","70","Destination unreachable (Port unreachable)","","","0.000001517","","","","","","","","","","","","","","","",""
"43","0.836400884","10.0.0.2","172.18.0.6","ICMP","63014","9130","70","Destination unreachable (Port unreachable)","","","0.000001576","","","","","","","","","","","","","","","",""
"44","0.836402452","10.0.0.3","172.18.0.6","ICMP","63014","9130","70","Destination unreachable (Port unreachable)","","","0.000001568","","","","","","","","","","","","","","","",""
"45","0.836471976","10.0.0.1","172.18.0.6","ICMP","63014","9130","70","Destination unreachable (Port unreachable)","","","0.000069524","","","","","","","","","","","","","","","",""
"46","0.836475513","10.0.0.2","172.18.0.6","ICMP","63014","1041","142","Destination unreachable (Port unreachable)","","","0.000003537","","","","","","","","","","","","","","","",""
"47","0.836477260","10.0.0.3","172.18.0.6","ICMP","63014","1041","142","Destination unreachable (Port unreachable)","","","0.000001747","","","","","","","","","","","","","","","",""
"48","0.836478855","10.0.0.1","172.18.0.6","ICMP","63014","1041","142","Destination unreachable (Port unreachable)","","","0.000001595","","","","","","","","","","","","","","","",""
"49","0.836480366","10.0.0.2","172.18.0.6","ICMP","63014","4298","70","Destination unreachable (Port unreachable)","","","0.000001511","","","","","","","","","","","","","","","",""
"50","0.836518312","172.18.0.6","10.0.0.2","UDP","63014","6866","42","63014  >  6866 Len=0","","","0.000037946","","","","","","","","","","","","","","","",""
"51","0.836536310","172.18.0.6","10.0.0.3","UDP","63014","4298","42","63014  >  4298 Len=0","","","0.000017998","","","","","","","","","","","","","","","",""
"52","0.836546960","172.18.0.6","10.0.0.1","UDP","63014","4298","42","63014  >  4298 Len=0","","","0.000010650","","","","","","","","","","","","","","","",""
"53","0.836558078","172.18.0.6","10.0.0.2","UDP","63014","3339","42","63014  >  3339 Len=0","","","0.000011118","","","","","","","","","","","","","","","",""
"54","0.836567344","172.18.0.6","10.0.0.3","UDP","63014","6866","42","63014  >  6866 Len=0","","","0.000009266","","","","","","","","","","","","","","","",""
"55","0.836600382","172.18.0.6","10.0.0.1","UDP","63014","6866","42","63014  >  6866 Len=0","","","0.000033038","","","","","","","","","","","","","","","",""
"56","0.836614627","172.18.0.6","10.0.0.2","UDP","63014","1599","42","63014  >  1599 Len=0","","","0.000014245","","","","","","","","","","","","","","","",""
"57","0.836624697","172.18.0.6","10.0.0.3","UDP","63014","3339","42","63014  >  3339 Len=0","","","0.000010070","","","","","","","","","","","","","","","",""
"58","0.836634423","172.18.0.6","10.0.0.1","UDP","63014","3339","42","63014  >  3339 Len=0","","","0.000009726","","","","","","","","","","","","","","","",""
"59","0.836645316","172.18.0.6","10.0.0.2","UDP","63014","7220","42","63014  >  7220 Len=0","","","0.000010893","","","","","","","","","","","","","","","",""
"60","0.836675129","172.18.0.6","10.0.0.3","UDP","63014","1599","42","63014  >  1599 Len=0","","","0.000029813","","","","","","","","","","","","","","","",""
"61","0.836725620","172.18.0.6","10.0.0.1","UDP","63014","1599","42","63014  >  1599 Len=0","","","0.000050491","","","","","","","","","","","","","","","",""
