"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1","0.000000000","172.18.0.6","10.0.0.2","TCP","36186","587","54","36186  >  587 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000000000","","","","","","","","","","","","","","","","0.000000000"
"2","0.002632856","172.18.0.6","10.0.0.2","TCP","36186","995","54","36186  >  995 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002632856","","","","","","","","","","","","","","","","0.000000000"
"3","0.005086402","172.18.0.6","10.0.0.2","TCP","36186","113","54","36186  >  113 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002453546","","","","","","","","","","","","","","","","0.000000000"
"4","0.005110431","172.18.0.6","10.0.0.3","TCP","36186","3614","54","36186  >  3614 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000024029","","","","","","","","","","","","","","","","0.000000000"
"5","0.007980418","172.18.0.6","10.0.0.1","TCP","36186","587","54","36186  >  587 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002869987","","","","","","","","","","","","","","","","0.000000000"
"6","0.008002142","172.18.0.6","10.0.0.2","TCP","36186","9471","54","36186  >  9471 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000021724","","","","","","","","","","","","","","","","0.000000000"
"7","0.008069588","172.18.0.6","10.0.0.3","TCP","36186","610","54","36186  >  610 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000067446","","","","","","","","","","","","","","","","0.000000000"
"8","0.010360854","172.18.0.6","10.0.0.2","TCP","36186","3105","54","36186  >  3105 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002291266","","","","","","","","","","","","","","","","0.000000000"
"9","0.012859794","172.18.0.6","10.0.0.2","TCP","36186","7406","54","36186  >  7406 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002498940","","","","","","","","","","","","","","","","0.000000000"
"10","0.015087393","172.18.0.6","10.0.0.2","TCP","36186","1089","54","36186  >  1089 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002227599","","","","","","","","","","","","","","","","0.000000000"
"11","0.100589959","172.18.0.6","10.0.0.1","TCP","36184","995","54","36184  >  995 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.085502566","","","","","","","","","","","","","","","","0.000000000"
"12","0.102907065","172.18.0.6","10.0.0.1","TCP","36184","113","54","36184  >  113 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002317106","","","","","","","","","","","","","","","","0.000000000"
"13","0.105452604","172.18.0.6","10.0.0.1","TCP","36184","9471","54","36184  >  9471 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002545539","","","","","","","","","","","","","","","","0.000000000"
"14","0.105474904","172.18.0.6","10.0.0.2","TCP","36184","957","54","36184  >  957 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000022300","","","","","","","","","","","","","","","","0.000000000"
"15","0.108595850","172.18.0.6","10.0.0.2","TCP","36184","6137","54","36184  >  6137 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.003120946","","","","","","","","","","","","","","","","0.000000000"
"16","0.108617858","172.18.0.6","10.0.0.3","TCP","36184","3788","54","36184  >  3788 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000022008","","","","","","","","","","","","","","","","0.000000000"
"17","0.108663128","172.18.0.6","10.0.0.1","TCP","36184","3105","54","36184  >  3105 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000045270","","","","","","","","","","","","","","","","0.000000000"
"18","0.110738852","172.18.0.6","10.0.0.1","TCP","36184","7406","54","36184  >  7406 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002075724","","","","","","","","","","","","","","","","0.000000000"
"19","0.113247117","172.18.0.6","10.0.0.1","TCP","36184","1089","54","36184  >  1089 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002508265","","","","","","","","","","","","","","","","0.000000000"
"20","0.115455992","172.18.0.6","10.0.0.1","TCP","36184","957","54","36184  >  957 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002208875","","","","","","","","","","","","","","","","0.000000000"
"24","0.201066524","172.18.0.6","10.0.0.1","TCP","36186","995","54","36186  >  995 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.007233878","","","","","","","","","","","","","","","","0.000000000"
"25","0.203369669","172.18.0.6","10.0.0.1","TCP","36186","113","54","36186  >  113 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002303145","","","","","","","","","","","","","","","","0.000000000"
"26","0.206004308","172.18.0.6","10.0.0.1","TCP","36186","9471","54","36186  >  9471 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002634639","","","","","","","","","","","","","","","","0.000000000"
"27","0.206050706","172.18.0.6","10.0.0.2","TCP","36186","957","54","36186  >  957 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.000046398","","","","","","","","","","","","","","","","0.000000000"
"28","0.208638366","172.18.0.6","10.0.0.2","TCP","36186","6137","54","36186  >  6137 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002587660","","","","","","","","","","","","","","","","0.000000000"
"29","0.211163191","172.18.0.6","10.0.0.1","TCP","36186","7406","54","36186  >  7406 [FIN, PSH, URG] Seq=1 Win=1024 Urg=0 Len=0","0x029","1024","0.002524825","","","","","","","","","","","","","","","","0.000000000"
