"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"481","30.157919717","172.18.0.6","10.0.0.3","TCP","36814","4840","154","36814  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.000785355","","","","","","","","","","","","","","","","0.000000000"
"483","30.158298146","172.18.0.6","10.0.0.3","TCP","36814","4840","54","36814  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000035318","","","","","","","","","","","","","","","","0.000035318"
"484","30.159785266","172.18.0.6","10.0.0.3","TCP","4201","4840","154","4201  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001487120","","","","","","","","","","","","","","","","0.000000000"
"486","30.160095567","172.18.0.6","10.0.0.3","TCP","4201","4840","54","4201  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000024750","","","","","","","","","","","","","","","","0.000024750"
"487","30.163061948","172.18.0.6","10.0.0.3","TCP","45636","4840","154","45636  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.002966381","","","","","","","","","","","","","","","","0.000000000"
"489","30.163364185","172.18.0.6","10.0.0.3","TCP","45636","4840","54","45636  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000015177","","","","","","","","","","","","","","","","0.000015177"
"490","30.164813268","172.18.0.6","10.0.0.3","TCP","3520","4840","154","3520  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001449083","","","","","","","","","","","","","","","","0.000000000"
"492","30.165115634","172.18.0.6","10.0.0.3","TCP","3520","4840","54","3520  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000024536","","","","","","","","","","","","","","","","0.000024536"
"493","30.165305015","172.18.0.6","10.0.0.3","TCP","45200","4840","154","45200  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.000189381","","","","","","","","","","","","","","","","0.000000000"
"495","30.165585330","172.18.0.6","10.0.0.3","TCP","45200","4840","54","45200  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000014447","","","","","","","","","","","","","","","","0.000014447"
"496","30.173411498","172.18.0.6","10.0.0.3","TCP","64801","4840","154","64801  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.007826168","","","","","","","","","","","","","","","","0.000000000"
"498","30.173804298","172.18.0.6","10.0.0.3","TCP","64801","4840","54","64801  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000033418","","","","","","","","","","","","","","","","0.000033418"
"499","30.175025253","172.18.0.6","10.0.0.3","TCP","50546","4840","154","50546  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001220955","","","","","","","","","","","","","","","","0.000000000"
"501","30.175306215","172.18.0.6","10.0.0.3","TCP","50546","4840","54","50546  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000023820","","","","","","","","","","","","","","","","0.000023820"
"502","30.182736021","172.18.0.6","10.0.0.3","TCP","59176","4840","154","59176  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.007429806","","","","","","","","","","","","","","","","0.000000000"
"504","30.183054794","172.18.0.6","10.0.0.3","TCP","59176","4840","54","59176  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000027461","","","","","","","","","","","","","","","","0.000027461"
"505","30.184137172","172.18.0.6","10.0.0.3","TCP","38812","4840","154","38812  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.001082378","","","","","","","","","","","","","","","","0.000000000"
"507","30.184405373","172.18.0.6","10.0.0.3","TCP","38812","4840","54","38812  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000026623","","","","","","","","","","","","","","","","0.000026623"
"508","30.185390672","172.18.0.6","10.0.0.3","TCP","28551","4840","154","28551  >  4840 [SYN] Seq=0 Win=8192 Len=100 [TCP segment of a reassembled PDU]","0x002","8192","0.000985299","","","","","","","","","","","","","","","","0.000000000"
"510","30.185854765","172.18.0.6","10.0.0.3","TCP","28551","4840","54","28551  >  4840 [RST] Seq=1 Win=0 Len=0","0x004","0","0.000021481","","","","","","","","","","","","","","","","0.000021481"
