"No.","Time","Source","Destination","Protocol","srcPort","dstPort","Length","Info","tcp_Flags","tcp_WindowSize","Delay","OPC_Message_Size","OPC_Sec.Requ_ID","MessageType","Message_String","S7_ROSCTR","S7_Data_Length","S7_Function","S7_Message","S7_Error_Code","Mod_Length","Mod_Transa_ID","Mod_Function","Mod_Req_Frame","Mod_Req_Delay","Mod_Data","Delay (tcp)"
"1","0.000000000","172.18.0.2","10.0.0.2","Modbus/TCP","55746","502","78","   Query: Trans: 33469; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.000000000","","","","","","","","","","6","33469","Write Single Coil","","","","0.000000000"
"2","0.000426100","10.0.0.2","172.18.0.2","Modbus/TCP","502","55746","78","Response: Trans: 33469; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.000426100","","","","","","","","","","6","33469","Write Single Coil","1","0.000426100","","0.000426100"
"3","0.000442276","172.18.0.2","10.0.0.2","TCP","55746","502","66","55746  >  502 [ACK] Seq=13 Ack=13 Win=502 Len=0 TSval=549208393 TSecr=2016904060","0x010","502","0.000016176","","","","","","","","","","","","","","","","0.000016176"
"4","0.501392621","172.18.0.2","10.0.0.2","Modbus/TCP","55746","502","78","   Query: Trans:  9958; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.500950345","","","","","","","","","","6","9958","Write Single Coil","","","","0.500950345"
"5","0.501769289","10.0.0.2","172.18.0.2","Modbus/TCP","502","55746","78","Response: Trans:  9958; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.000376668","","","","","","","","","","6","9958","Write Single Coil","4","0.000376668","","0.000376668"
"6","0.501783802","172.18.0.2","10.0.0.2","TCP","55746","502","66","55746  >  502 [ACK] Seq=25 Ack=25 Win=502 Len=0 TSval=549208894 TSecr=2016904562","0x010","502","0.000014513","","","","","","","","","","","","","","","","0.000014513"
"7","0.645875761","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.144091959","101","1649","BrowseRequest","","","","","","","","","","","","","0.000000000"
"8","0.646898553","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.001022792","217","1649","BrowseResponse","","","","","","","","","","","","","0.001022792"
"9","0.646914290","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=102 Ack=218 Win=501 Len=0 TSval=1929290166 TSecr=1353083763","0x010","501","0.000015737","","","","","","","","","","","","","","","","0.000015737"
"10","0.647494795","172.18.0.7","10.0.0.3","OpcUa","41862","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000580505","127","1650","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000580505"
"11","0.648266622","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000771827","79","1650","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000771827"
"12","0.648278170","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=229 Ack=297 Win=501 Len=0 TSval=1929290168 TSecr=1353083764","0x010","501","0.000011548","","","","","","","","","","","","","","","","0.000011548"
"13","0.648606361","172.18.0.7","10.0.0.3","OpcUa","41862","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000328191","107","1651","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000328191"
"14","0.649361935","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000755574","79","1651","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000755574"
"15","0.649372756","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=336 Ack=376 Win=501 Len=0 TSval=1929290169 TSecr=1353083765","0x010","501","0.000010821","","","","","","","","","","","","","","","","0.000010821"
"16","0.649828663","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000455907","101","1652","BrowseRequest","","","","","","","","","","","","","0.000455907"
"17","0.650557401","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000728738","217","1652","BrowseResponse","","","","","","","","","","","","","0.000728738"
"18","0.650955696","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000398295","106","1653","BrowseRequest","","","","","","","","","","","","","0.000398295"
"19","0.651641422","10.0.0.3","172.18.0.7","OpcUa","4840","41862","240","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000685726","174","1653","BrowseResponse","","","","","","","","","","","","","0.000685726"
"20","0.652029225","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000387803","106","1654","BrowseRequest","","","","","","","","","","","","","0.000387803"
"21","0.652616712","10.0.0.3","172.18.0.7","OpcUa","4840","41862","195","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000587487","129","1654","BrowseResponse","","","","","","","","","","","","","0.000587487"
"22","0.652914984","172.18.0.7","10.0.0.3","OpcUa","41862","4840","165","UA Secure Conversation Message: ReadRequest","0x018","501","0.000298272","99","1655","ReadRequest","","","","","","","","","","","","","0.000298272"
"23","0.653454796","10.0.0.3","172.18.0.7","OpcUa","4840","41862","154","UA Secure Conversation Message: ReadResponse","0x018","43","0.000539812","88","1655","ReadResponse","eZTRcDBRNi","","","","","","","","","","","","0.000539812"
"24","0.697479824","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=748 Ack=984 Win=501 Len=0 TSval=1929290217 TSecr=1353083769","0x010","501","0.044025028","","","","","","","","","","","","","","","","0.044025028"
"25","0.779937463","172.18.0.3","10.0.0.1","S7COMM","55408","102","97","ROSCTR:[Job     ] Function:[Read Var]","0x018","502","0.082457639","","","","","Job","","Read Var","","","","","","","","","0.000000000"
"26","0.780191525","10.0.0.1","172.18.0.3","S7COMM","102","55408","111","ROSCTR:[Ack_Data] Function:[Read Var]","0x018","43","0.000254062","","","","","Ack_Data","20","Read Var","5277675a45466871576f726b4d69576d4864726f","","","","","","","","0.000254062"
"27","0.780209017","172.18.0.3","10.0.0.1","TCP","55408","102","66","55408  >  102 [ACK] Seq=32 Ack=46 Win=502 Len=0 TSval=3109207790 TSecr=468841286","0x010","502","0.000017492","","","","","","","","","","","","","","","","0.000017492"
"28","1.002020295","172.18.0.2","10.0.0.2","Modbus/TCP","55746","502","78","   Query: Trans: 29884; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.221811278","","","","","","","","","","6","29884","Write Single Coil","","","","0.500236493"
"29","1.002418056","10.0.0.2","172.18.0.2","Modbus/TCP","502","55746","78","Response: Trans: 29884; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.000397761","","","","","","","","","","6","29884","Write Single Coil","28","0.000397761","","0.000397761"
"30","1.002434188","172.18.0.2","10.0.0.2","TCP","55746","502","66","55746  >  502 [ACK] Seq=37 Ack=37 Win=502 Len=0 TSval=549209395 TSecr=2016905062","0x010","502","0.000016132","","","","","","","","","","","","","","","","0.000016132"
"31","1.502912324","172.18.0.2","10.0.0.2","Modbus/TCP","55746","502","78","   Query: Trans:  2978; Unit:   1, Func:   5: Write Single Coil","0x018","502","0.500478136","","","","","","","","","","6","2978","Write Single Coil","","","","0.500478136"
"32","1.503253963","10.0.0.2","172.18.0.2","Modbus/TCP","502","55746","78","Response: Trans:  2978; Unit:   1, Func:   5: Write Single Coil","0x018","43","0.000341639","","","","","","","","","","6","2978","Write Single Coil","31","0.000341639","","0.000341639"
"33","1.503269788","172.18.0.2","10.0.0.2","TCP","55746","502","66","55746  >  502 [ACK] Seq=49 Ack=49 Win=502 Len=0 TSval=549209896 TSecr=2016905563","0x010","502","0.000015825","","","","","","","","","","","","","","","","0.000015825"
"34","1.685548816","172.18.0.4","10.0.0.1","S7COMM","43350","102","121","ROSCTR:[Job     ] Function:[Write Var]","0x018","502","0.182279028","","","","","Job","20","Write Var","7947587370766a726966426a49676f6643497149","","","","","","","","0.000000000"
"35","1.685941696","10.0.0.1","172.18.0.4","S7COMM","102","43350","88","ROSCTR:[Ack_Data] Function:[Write Var]","0x018","43","0.000392880","","","","","Ack_Data","","Write Var","","","","","","","","","0.000392880"
"36","1.685958851","172.18.0.4","10.0.0.1","TCP","43350","102","66","43350  >  102 [ACK] Seq=56 Ack=23 Win=502 Len=0 TSval=3279926617 TSecr=468842192","0x010","502","0.000017155","","","","","","","","","","","","","","","","0.000017155"
"37","2.654303302","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.968344451","101","1656","BrowseRequest","","","","","","","","","","","","","1.956823478"
"38","2.655328847","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.001025545","217","1656","BrowseResponse","","","","","","","","","","","","","0.001025545"
"39","2.655345007","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=849 Ack=1201 Win=501 Len=0 TSval=1929292175 TSecr=1353085771","0x010","501","0.000016160","","","","","","","","","","","","","","","","0.000016160"
"40","2.655960331","172.18.0.7","10.0.0.3","OpcUa","41862","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000615324","127","1657","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000615324"
"41","2.656694872","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000734541","79","1657","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000734541"
"42","2.656706075","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=976 Ack=1280 Win=501 Len=0 TSval=1929292176 TSecr=1353085772","0x010","501","0.000011203","","","","","","","","","","","","","","","","0.000011203"
"43","2.657048339","172.18.0.7","10.0.0.3","OpcUa","41862","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000342264","107","1658","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000342264"
"44","2.657790293","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000741954","79","1658","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000741954"
"45","2.657801250","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1083 Ack=1359 Win=501 Len=0 TSval=1929292177 TSecr=1353085774","0x010","501","0.000010957","","","","","","","","","","","","","","","","0.000010957"
"46","2.658120143","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000318893","101","1659","BrowseRequest","","","","","","","","","","","","","0.000318893"
"47","2.659013272","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000893129","217","1659","BrowseResponse","","","","","","","","","","","","","0.000893129"
"48","2.659052744","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1184 Ack=1576 Win=501 Len=0 TSval=1929292178 TSecr=1353085775","0x010","501","0.000039472","","","","","","","","","","","","","","","","0.000039472"
"49","2.659867294","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000814550","106","1660","BrowseRequest","","","","","","","","","","","","","0.000814550"
"50","2.660469570","10.0.0.3","172.18.0.7","OpcUa","4840","41862","240","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000602276","174","1660","BrowseResponse","","","","","","","","","","","","","0.000602276"
"51","2.660481569","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1290 Ack=1750 Win=501 Len=0 TSval=1929292180 TSecr=1353085776","0x010","501","0.000011999","","","","","","","","","","","","","","","","0.000011999"
"52","2.660960471","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000478902","106","1661","BrowseRequest","","","","","","","","","","","","","0.000478902"
"53","2.661470642","10.0.0.3","172.18.0.7","OpcUa","4840","41862","195","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000510171","129","1661","BrowseResponse","","","","","","","","","","","","","0.000510171"
"54","2.661481521","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1396 Ack=1879 Win=501 Len=0 TSval=1929292181 TSecr=1353085777","0x010","501","0.000010879","","","","","","","","","","","","","","","","0.000010879"
"55","2.661877507","172.18.0.7","10.0.0.3","OpcUa","41862","4840","165","UA Secure Conversation Message: ReadRequest","0x018","501","0.000395986","99","1662","ReadRequest","","","","","","","","","","","","","0.000395986"
"56","2.662334347","10.0.0.3","172.18.0.7","OpcUa","4840","41862","154","UA Secure Conversation Message: ReadResponse","0x018","43","0.000456840","88","1662","ReadResponse","eZTRcDBRNi","","","","","","","","","","","","0.000456840"
"57","2.662344808","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1495 Ack=1967 Win=501 Len=0 TSval=1929292182 TSecr=1353085778","0x010","501","0.000010461","","","","","","","","","","","","","","","","0.000010461"
"58","3.004892843","172.18.0.2","10.0.0.2","Modbus/TCP","55746","502","78","   Query: Trans:  5509; Unit:   1, Func:   1: Read Coils","0x018","502","0.342548035","","","","","","","","","","6","5509","Read Coils","","","","1.501623055"
"59","3.005314163","10.0.0.2","172.18.0.2","Modbus/TCP","502","55746","76","Response: Trans:  5509; Unit:   1, Func:   1: Read Coils","0x018","43","0.000421320","","","","","","","","","","4","5509","Read Coils","58","0.000421320","","0.000421320"
"60","3.005330429","172.18.0.2","10.0.0.2","TCP","55746","502","66","55746  >  502 [ACK] Seq=61 Ack=59 Win=502 Len=0 TSval=549211398 TSecr=2016907065","0x010","502","0.000016266","","","","","","","","","","","","","","","","0.000016266"
"61","3.854181654","172.18.0.5","10.0.0.2","Modbus/TCP","47058","502","78","   Query: Trans: 48922; Unit:   1, Func:   1: Read Coils","0x018","502","0.848851225","","","","","","","","","","6","48922","Read Coils","","","","0.000000000"
"62","3.854575552","10.0.0.2","172.18.0.5","Modbus/TCP","502","47058","76","Response: Trans: 48922; Unit:   1, Func:   1: Read Coils","0x018","43","0.000393898","","","","","","","","","","4","48922","Read Coils","61","0.000393898","","0.000393898"
"63","3.854591400","172.18.0.5","10.0.0.2","TCP","47058","502","66","47058  >  502 [ACK] Seq=13 Ack=11 Win=502 Len=0 TSval=1869740408 TSecr=2016907914","0x010","502","0.000015848","","","","","","","","","","","","","","","","0.000015848"
"64","4.665594209","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.811002809","101","1663","BrowseRequest","","","","","","","","","","","","","2.003249401"
"65","4.666655535","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.001061326","217","1663","BrowseResponse","","","","","","","","","","","","","0.001061326"
"66","4.666670665","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1596 Ack=2184 Win=501 Len=0 TSval=1929294186 TSecr=1353087782","0x010","501","0.000015130","","","","","","","","","","","","","","","","0.000015130"
"67","4.667198284","172.18.0.7","10.0.0.3","OpcUa","41862","4840","193","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000527619","127","1664","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000527619"
"68","4.667977686","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000779402","79","1664","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000779402"
"69","4.667988678","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1723 Ack=2263 Win=501 Len=0 TSval=1929294187 TSecr=1353087784","0x010","501","0.000010992","","","","","","","","","","","","","","","","0.000010992"
"70","4.668376754","172.18.0.7","10.0.0.3","OpcUa","41862","4840","173","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsRequest","0x018","501","0.000388076","107","1665","TranslateBrowsePathsToNodeIdsRequest","","","","","","","","","","","","","0.000388076"
"71","4.669015716","10.0.0.3","172.18.0.7","OpcUa","4840","41862","145","UA Secure Conversation Message: TranslateBrowsePathsToNodeIdsResponse","0x018","43","0.000638962","79","1665","TranslateBrowsePathsToNodeIdsResponse","","","","","","","","","","","","","0.000638962"
"72","4.669026750","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1830 Ack=2342 Win=501 Len=0 TSval=1929294188 TSecr=1353087785","0x010","501","0.000011034","","","","","","","","","","","","","","","","0.000011034"
"73","4.669506117","172.18.0.7","10.0.0.3","OpcUa","41862","4840","167","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000479367","101","1666","BrowseRequest","","","","","","","","","","","","","0.000479367"
"74","4.670228806","10.0.0.3","172.18.0.7","OpcUa","4840","41862","283","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000722689","217","1666","BrowseResponse","","","","","","","","","","","","","0.000722689"
"75","4.670239736","172.18.0.7","10.0.0.3","TCP","41862","4840","66","41862  >  4840 [ACK] Seq=1931 Ack=2559 Win=501 Len=0 TSval=1929294190 TSecr=1353087786","0x010","501","0.000010930","","","","","","","","","","","","","","","","0.000010930"
"76","4.670682556","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000442820","106","1667","BrowseRequest","","","","","","","","","","","","","0.000442820"
"77","4.671377018","10.0.0.3","172.18.0.7","OpcUa","4840","41862","240","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000694462","174","1667","BrowseResponse","","","","","","","","","","","","","0.000694462"
"78","4.671799156","172.18.0.7","10.0.0.3","OpcUa","41862","4840","172","UA Secure Conversation Message: BrowseRequest","0x018","501","0.000422138","106","1668","BrowseRequest","","","","","","","","","","","","","0.000422138"
"79","4.672400801","10.0.0.3","172.18.0.7","OpcUa","4840","41862","195","UA Secure Conversation Message: BrowseResponse","0x018","43","0.000601645","129","1668","BrowseResponse","","","","","","","","","","","","","0.000601645"
